Customer_ID,Age,Gender,Location,Device_Type,Traffic_Source,Session_Count,Return_Customer,Time_of_Day,Time_Spent_on_Site,Pages_Viewed,Product_Category,Product_Category_2,Discount_Code_Used,Payment_Method,Items_in_Cart,Added_to_Cart,Abandonment_Point,Converted,Order_Value
CUST00001,43.0,Male,Kuwait City,Mobile,Social Media,2.0,Yes,Evening,5.55,2.0,Home & Kitchen,nan,No,Digital Wallet,,No,Product Page,No,
CUST00002,37.0,Male,Abu Dhabi,Mobile,Social Media,3.0,Yes,Evening,19.64,8.0,Electronics,Books,Yes,Credit/Debit Card,4.0,Yes,Cart,No,
CUST00003,45.0,Male,Sharjah,Desktop,Organic,3.0,Yes,Evening,32.91,,Home & Kitchen,nan,No,Credit/Debit Card,2.0,Yes,None,Yes,227.58
CUST00004,31.0,Female,Dubai,Mobile,Social Media,1.0,No,Afternoon,9.04,4.0,Sports,nan,Yes,Digital Wallet,1.0,Yes,Cart,No,
CUST00005,16.0,Male,Riyadh,Mobile,Email,2.0,Yes,Afternoon,153.70127346385593,30.0,Sports,Electronics,No,Cash on Delivery,2.0,Yes,Cart,No,
CUST00006,28.0,Male,Abu Dhabi,Mobile,Paid Search,1.0,No,Morning,5.84,4.0,Books,Electronics,Yes,Credit/Debit Card,3.0,Yes,Payment Gateway,No,
CUST00007,51.0,Female,Mumbai,Desktop,Email,3.0,Yes,Evening,17.02,3.0,Home & Kitchen,Grocery,Yes,BNPL,3.0,Yes,Cart,No,
CUST00008,33.0,Male,Doha,Desktop,Organic,3.0,Yes,Afternoon,18.33,5.0,Books,Grocery,Yes,Credit/Debit Card,2.0,Yes,None,Yes,48.23
CUST00009,34.0,Female,Dubai,Desktop,Organic,4.0,Yes,Night,32.43,7.0,Home & Kitchen,nan,No,Credit/Debit Card,,No,Product Page,No,
CUST00010,46.0,Female,Abu Dhabi,Mobile,Social Media,1.0,No,Night,11.47,3.0,Home & Kitchen,Toys,Yes,Digital Wallet,1.0,Yes,None,Yes,185.06
CUST00011,54.0,Female,Abu Dhabi,Desktop,Paid Search,2.0,Yes,Evening,14.72,6.0,Beauty,Grocery,No,Digital Wallet,,No,Product Page,No,
CUST00012,26.0,Male,Sharjah,Mobile,Social Media,2.0,Yes,Evening,19.04,4.0,Apparel,Beauty,Yes,Credit/Debit Card,2.0,Yes,Cart,No,
CUST00013,43.0,Female,Muscat,Mobile,Social Media,1.0,No,Afternoon,5.86,4.0,Electronics,nan,No,Digital Wallet,,No,Product Page,No,
CUST00014,39.0,Female,,Mobile,Organic,4.0,Yes,Afternoon,15.34,3.0,Apparel,nan,Yes,Credit/Debit Card,2.0,Yes,None,Yes,103.91
CUST00015,29.0,Male,Dubai,Mobile,Social Media,3.0,Yes,Morning,12.72,4.0,Beauty,nan,Yes,Digital Wallet,,No,Product Page,No,
CUST00016,44.0,Male,Riyadh,Mobile,Paid Search,2.0,Yes,Night,8.58,,Electronics,Sports,Yes,Credit/Debit Card,3.0,Yes,None,Yes,440.69
